[20-Apr-2019 14:15:20 UTC] PHP Fatal error:  Cannot redeclare App\Http\Controllers\HomeController::index() in /home/ubuntu/workspace/cms/app/Http/Controllers/HomeController.php on line 28
[20-Apr-2019 14:16:22 UTC] PHP Fatal error:  Cannot redeclare App\Http\Controllers\HomeController::index() in /home/ubuntu/workspace/cms/app/Http/Controllers/HomeController.php on line 28
[20-Apr-2019 14:16:42 UTC] PHP Fatal error:  Cannot redeclare App\Http\Controllers\HomeController::index() in /home/ubuntu/workspace/cms/app/Http/Controllers/HomeController.php on line 28
[20-Apr-2019 14:33:59 UTC] PHP Fatal error:  Cannot redeclare App\Http\Controllers\HomeController::index() in /home/ubuntu/workspace/cms/app/Http/Controllers/HomeController.php on line 34
[01-May-2019 11:20:50 UTC] PHP Warning:  The use statement with non-compound name 'Validator' has no effect in /home/ubuntu/workspace/cms/app/Http/Controllers/CompaniesController.php on line 6
[01-May-2019 11:20:50 UTC] PHP Fatal error:  Class 'Controller' not found in /home/ubuntu/workspace/cms/app/Http/Controllers/CompaniesController.php on line 8
[03-May-2019 00:58:54 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /home/ubuntu/workspace/cms/vendor/laravel/framework/src/Illuminate/Database/Connectors/Connector.php on line 67
[03-May-2019 00:58:57 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /home/ubuntu/workspace/cms/vendor/laravel/framework/src/Illuminate/Database/Connectors/Connector.php on line 67
[03-May-2019 00:58:59 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /home/ubuntu/workspace/cms/vendor/laravel/framework/src/Illuminate/Database/Connectors/Connector.php on line 67
[03-May-2019 00:59:02 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /home/ubuntu/workspace/cms/vendor/laravel/framework/src/Illuminate/Database/Connectors/Connector.php on line 67
[03-May-2019 00:59:04 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /home/ubuntu/workspace/cms/vendor/laravel/framework/src/Illuminate/Database/Connectors/Connector.php on line 67
[03-May-2019 00:59:08 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /home/ubuntu/workspace/cms/vendor/laravel/framework/src/Illuminate/Database/Connectors/Connector.php on line 67
[03-May-2019 00:59:11 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /home/ubuntu/workspace/cms/vendor/laravel/framework/src/Illuminate/Database/Connectors/Connector.php on line 67
[03-May-2019 00:59:12 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /home/ubuntu/workspace/cms/vendor/laravel/framework/src/Illuminate/Database/Connectors/Connector.php on line 67
[03-May-2019 00:59:32 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 36864 bytes) in /home/ubuntu/workspace/cms/vendor/laravel/framework/src/Illuminate/Database/Connectors/Connector.php on line 67
[03-May-2019 00:59:34 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /home/ubuntu/workspace/cms/vendor/laravel/framework/src/Illuminate/Database/Connectors/Connector.php on line 67
[03-May-2019 00:59:46 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 36864 bytes) in /home/ubuntu/workspace/cms/vendor/laravel/framework/src/Illuminate/Database/Connectors/Connector.php on line 67
[18-May-2019 12:24:37 UTC] PHP Fatal error:  Cannot use App\Http\Controllers\DB as DB because the name is already in use in /home/ubuntu/workspace/cms/app/Http/Controllers/HomeController.php on line 8
